date,ga4_sessions,ga4_conversion_rate,ga4_revenue,ga4_atc,shopify_orders,shopify_revenue,shopify_aov,shopify_new_customers,shopify_returning_customers,meta_spend,meta_roas,meta_cpa
2026-06-12,278,0.72,69.97,0,2,72.96,36.48,0,0,148.12,0.49,74.06
2026-06-13,131,0.76,39.99,0,1,39.99,39.99,0,0,112.79,0.0,0.0
2026-06-14,338,1.18,149.95,0,3,119.97,39.99,0,0,145.36,0.83,48.45
2026-06-15,213,1.41,94.97,0,5,170.92,34.18,0,0,113.89,0.7,56.95
2026-06-16,173,1.16,79.98,0,4,139.21,34.8,0,0,120.33,0.33,120.33
2026-06-17,137,2.19,119.97,0,3,119.97,39.99,0,0,119.05,1.01,39.68
2026-06-18,133,3.76,199.95,0,5,199.95,39.99,0,0,114.95,1.39,28.74
2026-06-19,135,2.22,119.97,0,5,202.94,40.59,0,0,119.05,0.7,59.52
2026-06-20,138,3.62,174.95,0,6,217.93,36.32,0,0,113.97,1.4,28.49
2026-06-21,148,1.35,54.98,0,3,100.96,33.65,0,0,130.29,0.14,130.29
2026-06-22,98,2.04,54.98,0,3,140.75,46.92,0,0,106.97,0.4,106.97
